,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,currentDate,Implied volatility,Underlying asset price,Expiration time,new_index
1,4/21/17,22,ARR,Call,0.3,-0.2,0.1,0.4,40,659,0.45441,0.55431,0.01692,-0.00408,0.0373,2/17/17,0.10719,21.709999,0.1724846,0
9,6/16/17,12.5,RESI,Call,1.2,0.2,1.1,1.4,2,3801,0.73514,0.18291,0.02763,-0.00418,0.02675,2/17/17,0.21658,13.31,0.325804244,1
45,9/15/17,12.5,CAFD,Call,1.6,0.07,1.4,1.75,1,112,0.75087,0.15047,0.04883,-0.00316,0.03436,2/17/17,0.24548,13.4,0.574948665,2
46,9/15/17,12.5,CAFD,Call,1.6,0.07,1.4,1.75,1,112,0.75087,0.15047,0.04883,-0.00316,0.03436,2/17/17,0.24548,13.4,0.574948665,3
47,9/15/17,12.5,CAFD,Call,1.6,0.07,1.4,1.75,1,112,0.72724,0.13717,0.04636,-0.00346,0.03504,2/17/17,0.24548,13.4,0.574948665,4
48,9/15/17,12.5,CAFD,Call,1.6,0.07,1.4,1.75,1,112,0.72724,0.13717,0.04636,-0.00346,0.03504,2/17/17,0.24548,13.4,0.574948665,5
104,6/16/17,12.5,CAFD,Call,1.33,0.18,1.15,1.5,10,3169,0.75046,0.17646,0.0283,-0.00417,0.02671,2/17/17,0.24458,13.4,0.325804244,6
134,2/24/17,40,ACAD,Call,1,-0.05,0.85,1.55,83,60,0.48013,0.12011,0.00341,-0.11786,0.02144,2/17/17,0.60579,39.279999,0.019164956,7
142,5/19/17,25,AXDX,Call,3.32,-0.99,3,4,22,127,0.60894,0.04822,0.02959,-0.02255,0.04801,2/17/17,0.86397,23.15,0.249144422,8
152,6/16/17,4,ACHN,Put,0.43,0.03,0.4,0.5,50,243,-0.34033,0.22459,-0.0055,-0.00275,0.00889,2/17/17,0.61603,4.27,0.325804244,9
166,2/24/17,45.5,ATVI,Call,0.33,-0.12,0.33,0.36,314,530,0.44401,0.45587,0.00382,-0.03182,0.02465,2/17/17,0.16326,45.330002,0.019164956,10
168,2/24/17,46.5,ATVI,Call,0.09,-0.07,0.08,0.1,103,569,0.11926,0.21029,0.00103,-0.01664,0.01732,2/17/17,0.17819,45.330002,0.019164956,11
170,2/24/17,47.5,ATVI,Call,0.03,-0.01,0.02,0.04,43,78,0.05546,0.08483,0.00048,-0.01193,0.00751,2/17/17,0.20976,45.330002,0.019164956,12
174,2/24/17,45,ATVI,Put,0.29,-0.17,0.28,0.3,96,1146,-0.3708,0.35528,-0.00287,-0.03121,0.02404,2/17/17,0.1754,45.330002,0.019164956,13
183,3/3/17,47,ATVI,Call,0.15,-0.11,0.14,0.17,125,1072,0.13688,0.15499,0.00236,-0.01363,0.02497,2/17/17,0.18599,45.330002,0.038329911,14
184,3/10/17,45,ATVI,Call,0.97,-0.27,1.01,1.05,21,61,0.58867,0.18503,0.01475,-0.02732,0.04165,2/17/17,0.17096,45.330002,0.057494867,15
185,3/10/17,45.5,ATVI,Call,0.73,-0.09,0.74,0.78,20,305,0.4955,0.25026,0.01262,-0.02178,0.04253,2/17/17,0.17641,45.330002,0.057494867,16
186,3/10/17,47,ATVI,Call,0.25,-0.06,0.26,0.29,6,55,0.19978,0.16106,0.00514,-0.01454,0.03055,2/17/17,0.1859,45.330002,0.057494867,17
194,3/17/17,47,ATVI,Call,0.39,-0.03,0.38,0.41,112,880,0.26815,0.14779,0.00909,-0.01809,0.03464,2/17/17,0.18872,45.330002,0.076659822,18
199,3/24/17,45,ATVI,Call,1.25,-0.07,1.3,1.34,21,27,0.60306,0.18311,0.02519,-0.01798,0.05326,2/17/17,0.17957,45.330002,0.095824778,19
201,3/24/17,48,ATVI,Call,0.27,-0.19,0.26,0.3,10,18,0.1877,0.10403,0.00797,-0.01252,0.04029,2/17/17,0.18703,45.330002,0.095824778,20
226,5/19/17,41,ATVI,Put,0.92,0.05,0.87,0.9,39,3574,-0.20442,0.04507,-0.02123,-0.0113,0.05873,2/17/17,0.307,45.330002,0.249144422,21
236,8/18/17,45,ATVI,Call,3.52,0.02,3.5,3.65,111,544,0.61286,0.0622,0.1229,-0.01193,0.11949,2/17/17,0.23582,45.330002,0.498288843,22
243,8/18/17,44,ATVI,Put,2.9,-0.01,2.81,2.9,6,12,-0.37672,0.04162,-0.07701,-0.00966,0.11857,2/17/17,0.3048,45.330002,0.498288843,23
244,8/18/17,45,ATVI,Put,3.4,0.1,3.25,3.4,12,154,-0.41934,0.04443,-0.07997,-0.01005,0.12135,2/17/17,0.30839,45.330002,0.498288843,24
246,8/18/17,47,ATVI,Put,4.33,-0.02,4.35,4.45,3,164,-0.50464,0.04696,-0.0919,-0.00868,0.12623,2/17/17,0.29661,45.330002,0.498288843,25
260,3/17/17,110,ADBE,Put,0.5,-0.07,0.44,0.5,97,1840,-0.1069,0.02118,-0.00902,-0.03136,0.07754,2/17/17,0.2666,119.669998,0.076659822,26
261,3/17/17,115,ADBE,Put,1.29,-0.27,1.24,1.32,260,554,-0.27133,0.03734,-0.02187,-0.05902,0.12285,2/17/17,0.24542,119.669998,0.076659822,27
266,4/21/17,120,ADBE,Call,3.75,0.34,3.75,3.95,425,2288,0.55576,0.05768,0.11011,-0.03701,0.19173,2/17/17,0.18394,119.669998,0.1724846,28
274,7/21/17,115,ADBE,Call,9.31,0.06,9.7,9.9,7,1749,0.72514,0.02565,0.32779,-0.02822,0.26988,2/17/17,0.18994,119.669998,0.421629021,29
283,1/19/18,125,ADBE,Call,9.03,0.43,9.05,9.3,14,390,0.53986,0.019,0.52036,-0.02302,0.45736,2/17/17,0.21886,119.669998,0.919917864,30
303,2/24/17,12.5,AMD,Put,0.08,-0.05,0.07,0.09,818,2021,-0.19076,0.39845,-0.00046,-0.01532,0.00452,2/17/17,0.41802,13.13,0.019164956,31
309,3/3/17,13,AMD,Call,0.52,0.06,0.53,0.56,725,1663,0.54978,0.33098,0.00255,-0.02214,0.0099,2/17/17,0.43714,13.13,0.038329911,32
310,3/3/17,13.5,AMD,Call,0.32,0.03,0.3,0.34,1024,987,0.39459,0.31744,0.00185,-0.01997,0.01016,2/17/17,0.45949,13.13,0.038329911,33
338,3/24/17,12,AMD,Put,0.33,-0.02,0.31,0.34,84,265,-0.25368,0.1652,-0.00291,-0.01035,0.01475,2/17/17,0.50425,13.13,0.095824778,34
342,3/24/17,14,AMD,Put,1.36,-0.08,1.3,1.36,10,208,-0.61647,0.1767,-0.00717,-0.01273,0.01635,2/17/17,0.52746,13.13,0.095824778,35
366,5/19/17,45,AERI,Call,5.65,-0.95,5.4,6.9,16,79,0.42487,0.0255,0.02999,-0.03996,0.07861,2/17/17,0.624,44.849998,0.249144422,36
381,3/24/17,20,AGNC,Call,0.07,0.01,0.05,0.1,1,5,0.21744,0.55759,0.00408,-0.00315,0.01818,2/17/17,0.08884,19.49,0.095824778,37
388,3/17/17,20,AGNC,Put,0.8,0.12,0.68,0.79,10,350,-0.62876,0.30468,-0.00758,-0.00856,0.02149,2/17/17,0.24567,19.49,0.076659822,38
394,9/15/17,18,AGNC,Put,0.67,-0.03,0.64,0.77,20,2532,-0.26478,0.09671,-0.02662,-0.00245,0.05072,2/17/17,0.24618,19.49,0.574948665,39
411,2/24/17,64,AKAM,Call,0.17,-0.65,0.09,0.15,12,47,0.11866,0.13529,0.0014,-0.02557,0.02365,2/17/17,0.20385,62.34,0.019164956,40
428,3/3/17,66.5,AKAM,Call,0.1,-0.12,0.02,0.09,3,39,0.06994,0.04919,0.00164,-0.01541,0.01488,2/17/17,0.22365,62.34,0.038329911,41
434,3/24/17,64,AKAM,Call,1.13,-0.66,0.94,1.04,24,108,0.38535,0.08468,0.02187,-0.03202,0.07743,2/17/17,0.23086,62.34,0.095824778,42
450,3/10/17,62,AKAM,Put,1.09,0.34,1,1.09,7,28,-0.45104,0.15136,-0.0134,-0.02792,0.05759,2/17/17,0.219,62.34,0.057494867,43
463,5/19/17,65,AKAM,Call,2.6,-0.8,2.56,2.73,131,614,0.42337,0.05097,0.0602,-0.02275,0.12608,2/17/17,0.28175,62.34,0.249144422,44
472,8/18/17,60,AKAM,Put,4.41,0.41,4.15,4.35,35,70,-0.37074,0.02619,-0.10622,-0.01537,0.16212,2/17/17,0.3455,62.34,0.498288843,45
